Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
,X,,,77,20,,FWD,10,Hatchback,,Sedan,32,20,930,44279
Honda,,2020,Diesel,191,12,Manual,FWD,3,,Compact,Truck,40,38,778,28888
BMW,X,2001,Gasoline,233,4,Manual,FWD,10,Hatchback,,SUV,20,14,345,22630
Honda,B,2019,Electric,159,12,CVT,RWD,3,Hatchback,Midsize,SUV,19,27,642,66063
Honda,X,1998,,205,8,Automatic,,5,Luxury,Compact,,12,11,382,40144
Ford,Y,2007,,255,3,,,10,,Midsize,SUV,23,14,779,57161
BMW,,2014,Electric,385,3,,AWD,4,Crossover,Midsize,SUV,25,8,690,55979
BMW,,1995,Diesel,247,,CVT,RWD,2,Luxury,Compact,,19,20,253,11979
BMW,B,2002,,97,8,Manual,FWD,4,,Midsize,SUV,38,29,927,31189
Honda,Y,2008,Gasoline,289,3,Automatic,RWD,,Luxury,Midsize,SUV,19,28,56,47600
,Z,2010,,110,8,Manual,AWD,5,Crossover,,SUV,21,29,463,64560
BMW,X,2008,Gasoline,297,4,Manual,AWD,4,Crossover,Large,SUV,39,35,457,66558
Hyundai,A,2006,Electric,261,6,Manual,RWD,3,,Midsize,,,16,983,11910
Honda,X,2013,Gasoline,214,3,Manual,RWD,,Crossover,Midsize,SUV,10,33,83,62713
Ford,X,2017,Electric,270,,,RWD,,Luxury,Midsize,SUV,14,16,905,51857
,Z,2009,Gasoline,281,4,,,4,Crossover,,,29,22,99,39964
Hyundai,X,,Electric,289,20,Manual,FWD,4,Luxury,Large,Truck,17,17,149,30227
Hyundai,Y,1996,Gasoline,309,8,Automatic,RWD,5,Luxury,Compact,Sedan,21,31,329,10978
Ford,Y,1996,Diesel,115,20,CVT,RWD,2,Crossover,,Truck,10,15,156,22153
,,2017,Gasoline,104,12,Automatic,RWD,4,,,,29,31,190,64765
Honda,B,2016,Gasoline,322,4,Automatic,AWD,4,Hatchback,Large,Sedan,37,23,494,44071
Toyota,A,2013,Diesel,151,20,Automatic,AWD,10,Crossover,Large,,46,33,883,74519
,X,2019,,325,3,Manual,,3,Luxury,,,46,34,263,14503
Ford,X,2020,,266,8,,FWD,10,Luxury,Compact,SUV,21,11,80,65703
Hyundai,Z,2016,Gasoline,372,6,Automatic,,10,Crossover,,Sedan,46,31,400,69379
Honda,B,2020,Diesel,79,4,Manual,FWD,,,Large,SUV,37,26,764,62866
,Y,2020,Gasoline,381,3,Automatic,AWD,2,,Compact,Sedan,24,17,609,21905
Toyota,A,2016,Electric,355,,Automatic,AWD,3,Luxury,Large,,15,32,260,50838
Toyota,,2011,Electric,311,12,Manual,AWD,5,Luxury,Compact,,29,25,772,63279
BMW,Y,2014,Gasoline,320,8,,,5,,Midsize,Truck,23,26,615,31806
BMW,B,2004,,74,4,,RWD,4,Hatchback,Large,Sedan,11,17,552,50000
Ford,,2000,,188,4,CVT,RWD,4,Crossover,Large,SUV,18,,785,27168
,Z,2009,Gasoline,358,6,Manual,AWD,5,Luxury,,Truck,46,12,101,75119
,Z,2016,Gasoline,134,6,CVT,RWD,4,Luxury,Large,Truck,29,150,359,43714
Hyundai,X,2005,Electric,215,,CVT,RWD,2,,Large,Truck,35,,380,59093
Hyundai,B,,,293,12,CVT,,10,Crossover,Midsize,SUV,38,28,820,60419
Hyundai,A,1999,Gasoline,308,,,FWD,4,,Large,Truck,10,24,221,54145
BMW,,1995,Electric,246,3,Manual,AWD,,Crossover,Midsize,SUV,44,29,820,7461
,Y,2002,,336,3,CVT,AWD,4,Crossover,Midsize,Truck,15,22,420,19291
,B,2015,Diesel,351,,Manual,,3,Crossover,Midsize,SUV,46,35,124,51804
Toyota,B,,Electric,132,12,Manual,,2,Luxury,Midsize,,14,14,422,69946
BMW,Z,2006,,286,,,RWD,3,Hatchback,Compact,,42,39,231,66332
Honda,X,2006,,384,12,CVT,AWD,3,,,,23,18,690,35841
BMW,X,1999,Electric,352,12,CVT,FWD,,Hatchback,Compact,,21,17,63,53758
Honda,,2001,Diesel,246,20,Manual,,2,,Large,,200,16,485,42643
Toyota,Z,1998,Electric,167,8,Automatic,FWD,2,Crossover,Compact,Truck,29,21,628,55408
Ford,B,2000,,174,12,,FWD,2,Luxury,Compact,Truck,33,20,703,48950
,A,2007,Gasoline,168,6,,AWD,2,Hatchback,Large,Truck,43,32,574,61849
Toyota,Z,2014,Gasoline,380,12,,AWD,2,Luxury,Large,SUV,34,9,768,33044
,,2009,Electric,75,12,,,,,Large,SUV,38,14,483,20997
Hyundai,,1997,,266,12,CVT,AWD,4,Luxury,Compact,SUV,48,28,519,28911
Ford,Z,2017,Gasoline,202,20,CVT,AWD,3,Luxury,Compact,SUV,40,25,155,60533
Ford,,2002,,328,20,Automatic,AWD,2,Hatchback,Large,,32,10,92,19571
Toyota,Z,2014,Electric,92,3,,FWD,4,Crossover,,,47,18,982,62941
Ford,Y,2010,Gasoline,122,20,,,4,Luxury,,,29,31,526,63005
Honda,Z,2007,,234,6,Manual,RWD,3,Crossover,Midsize,Sedan,32,26,455,63712
Ford,Z,2012,Gasoline,271,6,CVT,FWD,,,Large,Truck,25,11,741,48541
,,,Electric,152,20,,AWD,5,Luxury,Midsize,SUV,200,33,598,28387
,,2004,,214,,Automatic,FWD,5,Hatchback,,SUV,17,39,645,53908
,X,2013,Gasoline,154,8,Automatic,AWD,4,,Midsize,,30,,510,18057
,X,2011,Electric,147,20,CVT,AWD,10,,Large,SUV,10,10,183,69028
Honda,Y,2018,Gasoline,70,12,Automatic,FWD,10,Hatchback,Large,SUV,17,16,386,60731
BMW,X,2013,Gasoline,120,4,Automatic,,3,Luxury,Large,Truck,38,15,574,29858
Hyundai,Z,,Diesel,242,8,CVT,AWD,5,Luxury,Compact,,41,,731,53689
Toyota,,2020,Diesel,274,8,,,4,,Midsize,Truck,47,13,405,49638
,X,2017,Electric,329,6,,RWD,,Luxury,,Sedan,14,11,246,51486
Ford,X,2020,Diesel,357,8,Automatic,AWD,5,Crossover,,Sedan,31,20,742,25567
,Y,1999,Electric,103,20,Automatic,,4,Hatchback,,Sedan,43,9,591,34739
Ford,B,2020,Diesel,164,12,,,4,Crossover,Compact,,10,12,661,62804
Hyundai,Y,2015,Gasoline,141,12,CVT,RWD,2,Luxury,Compact,SUV,35,34,650,8754
Hyundai,Z,2017,Electric,108,3,Automatic,,,,Large,,19,39,471,32044
Hyundai,,2003,Electric,223,12,Manual,,2,Hatchback,,,39,28,826,72260
Ford,Y,2006,Gasoline,319,12,CVT,RWD,3,Luxury,Compact,SUV,27,15,888,71912
,X,2015,Electric,231,6,Automatic,AWD,2,Luxury,Large,Truck,26,15,423,13706
Hyundai,,1995,Electric,187,12,Automatic,,2,,,Sedan,35,10,901,13894
Honda,,2020,Diesel,328,3,Manual,,5,,Midsize,Truck,17,10,65,23037
Ford,X,2020,Electric,375,4,Manual,,10,Crossover,Large,Sedan,49,29,13,56612
