,Company,Model,Year,Fuel Type,HP,Cylinders,Transmission Type,Driven Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,Highway MPG,City MPG,Popularity,MSRP
0,Unknown,X,2020.0,Gasoline,77,20.0,Manual,FWD,10.0,Hatchback,Compact,Compact,32.0,20.0,930,44279
1,Honda,B,2020.0,Diesel,191,12.0,Manual,FWD,3.0,Hatchback,Compact,Compact,40.0,38.0,778,28888
2,BMW,X,2001.0,Gasoline,233,4.0,Manual,FWD,10.0,Hatchback,Compact,Compact,20.0,14.0,345,22630
3,Honda,B,2019.0,Electric,159,12.0,CVT,RWD,3.0,Hatchback,Midsize,Midsize,19.0,27.0,642,66063
4,Honda,X,1998.0,Diesel,205,8.0,Automatic,FWD,5.0,Luxury,Compact,Compact,12.0,11.0,382,40144
5,Ford,Y,2007.0,Gasoline,255,3.0,CVT,RWD,10.0,Crossover,Midsize,Midsize,23.0,14.0,779,57161
6,BMW,B,2014.0,Electric,385,3.0,CVT,AWD,4.0,Crossover,Midsize,Midsize,25.0,8.0,690,55979
7,BMW,B,1995.0,Diesel,247,12.0,CVT,RWD,2.0,Luxury,Compact,Compact,19.0,20.0,253,11979
8,BMW,B,2002.0,Gasoline,97,8.0,Manual,FWD,4.0,Crossover,Midsize,Midsize,38.0,29.0,927,31189
9,Honda,Y,2008.0,Gasoline,289,3.0,Automatic,RWD,2.0,Luxury,Midsize,Midsize,19.0,28.0,56,47600
10,Unknown,Z,2010.0,Gasoline,110,8.0,Manual,AWD,5.0,Crossover,Midsize,Midsize,21.0,29.0,463,64560
11,BMW,X,2008.0,Gasoline,297,4.0,Manual,AWD,4.0,Crossover,Large,Large,39.0,35.0,457,66558
12,Hyundai,A,2006.0,Electric,261,6.0,Manual,RWD,3.0,Hatchback,Midsize,Midsize,30.0,16.0,983,11910
13,Honda,X,2013.0,Gasoline,214,3.0,Manual,RWD,2.0,Crossover,Midsize,Midsize,10.0,33.0,83,62713
14,Ford,X,2017.0,Electric,270,12.0,Manual,RWD,2.0,Luxury,Midsize,Midsize,14.0,16.0,905,51857
15,Unknown,Z,2009.0,Gasoline,281,4.0,Manual,FWD,4.0,Crossover,Midsize,Midsize,29.0,22.0,99,39964
16,Hyundai,X,1996.0,Electric,289,20.0,Manual,FWD,4.0,Luxury,Large,Large,17.0,17.0,149,30227
17,Hyundai,Y,1996.0,Gasoline,309,8.0,Automatic,RWD,5.0,Luxury,Compact,Compact,21.0,31.0,329,10978
18,Ford,Y,1996.0,Diesel,115,20.0,CVT,RWD,2.0,Crossover,Midsize,Midsize,10.0,15.0,156,22153
19,Unknown,X,2017.0,Gasoline,104,12.0,Automatic,RWD,4.0,Luxury,Midsize,Midsize,29.0,31.0,190,64765
20,Honda,B,2016.0,Gasoline,322,4.0,Automatic,AWD,4.0,Hatchback,Large,Large,37.0,23.0,494,44071
21,Toyota,A,2013.0,Diesel,151,20.0,Automatic,AWD,10.0,Crossover,Large,Large,46.0,33.0,883,74519
22,Unknown,X,2019.0,Gasoline,325,3.0,Manual,FWD,3.0,Luxury,Midsize,Midsize,46.0,34.0,263,14503
23,Ford,X,2020.0,Gasoline,266,8.0,Automatic,FWD,10.0,Luxury,Compact,Compact,21.0,11.0,80,65703
24,Hyundai,Z,2016.0,Gasoline,372,6.0,Automatic,FWD,10.0,Crossover,Midsize,Midsize,46.0,31.0,400,69379
25,Honda,B,2020.0,Diesel,79,4.0,Manual,FWD,2.0,Crossover,Large,Large,37.0,26.0,764,62866
26,Unknown,Y,2020.0,Gasoline,381,3.0,Automatic,AWD,2.0,Hatchback,Compact,Compact,24.0,17.0,609,21905
27,Toyota,A,2016.0,Electric,355,12.0,Automatic,AWD,3.0,Luxury,Large,Large,15.0,32.0,260,50838
28,Toyota,Z,2011.0,Electric,311,12.0,Manual,AWD,5.0,Luxury,Compact,Compact,29.0,25.0,772,63279
29,BMW,Y,2014.0,Gasoline,320,8.0,CVT,RWD,5.0,Crossover,Midsize,Midsize,23.0,26.0,615,31806
30,BMW,B,2004.0,Gasoline,74,4.0,CVT,RWD,4.0,Hatchback,Large,Large,11.0,17.0,552,50000
31,Ford,X,2000.0,Gasoline,188,4.0,CVT,RWD,4.0,Crossover,Large,Large,18.0,26.0,785,27168
32,Unknown,Z,2009.0,Gasoline,358,6.0,Manual,AWD,5.0,Luxury,Midsize,Midsize,46.0,12.0,101,75119
33,Unknown,Z,2016.0,Gasoline,134,6.0,CVT,RWD,4.0,Luxury,Large,Large,29.0,150.0,359,43714
34,Hyundai,X,2005.0,Electric,215,12.0,CVT,RWD,2.0,Luxury,Large,Large,35.0,26.0,380,59093
35,Hyundai,B,1999.0,Gasoline,293,12.0,CVT,RWD,10.0,Crossover,Midsize,Midsize,38.0,28.0,820,60419
36,Hyundai,A,1999.0,Gasoline,308,12.0,Manual,FWD,4.0,Luxury,Large,Large,10.0,24.0,221,54145
37,BMW,B,1995.0,Electric,246,3.0,Manual,AWD,2.0,Crossover,Midsize,Midsize,44.0,29.0,820,7461
38,Unknown,Y,2002.0,Gasoline,336,3.0,CVT,AWD,4.0,Crossover,Midsize,Midsize,15.0,22.0,420,19291
39,Unknown,B,2015.0,Diesel,351,12.0,Manual,FWD,3.0,Crossover,Midsize,Midsize,46.0,35.0,124,51804
40,Toyota,B,2006.0,Electric,132,12.0,Manual,FWD,2.0,Luxury,Midsize,Midsize,14.0,14.0,422,69946
41,BMW,Z,2006.0,Gasoline,286,12.0,CVT,RWD,3.0,Hatchback,Compact,Compact,42.0,39.0,231,66332
42,Honda,X,2006.0,Diesel,384,12.0,CVT,AWD,3.0,Hatchback,Compact,Compact,23.0,18.0,690,35841
43,BMW,X,1999.0,Electric,352,12.0,CVT,FWD,2.0,Hatchback,Compact,Compact,21.0,17.0,63,53758
44,Honda,B,2001.0,Diesel,246,20.0,Manual,FWD,2.0,Crossover,Large,Large,200.0,16.0,485,42643
45,Toyota,Z,1998.0,Electric,167,8.0,Automatic,FWD,2.0,Crossover,Compact,Compact,29.0,21.0,628,55408
46,Ford,B,2000.0,Gasoline,174,12.0,CVT,FWD,2.0,Luxury,Compact,Compact,33.0,20.0,703,48950
47,Unknown,A,2007.0,Gasoline,168,6.0,CVT,AWD,2.0,Hatchback,Large,Large,43.0,32.0,574,61849
48,Toyota,Z,2014.0,Gasoline,380,12.0,CVT,AWD,2.0,Luxury,Large,Large,34.0,9.0,768,33044
49,Unknown,X,2009.0,Electric,75,12.0,CVT,RWD,2.0,Hatchback,Large,Large,38.0,14.0,483,20997
50,Hyundai,X,1997.0,Gasoline,266,12.0,CVT,AWD,4.0,Luxury,Compact,Compact,48.0,28.0,519,28911
51,Ford,Z,2017.0,Gasoline,202,20.0,CVT,AWD,3.0,Luxury,Compact,Compact,40.0,25.0,155,60533
52,Ford,X,2002.0,Gasoline,328,20.0,Automatic,AWD,2.0,Hatchback,Large,Large,32.0,10.0,92,19571
53,Toyota,Z,2014.0,Electric,92,3.0,Manual,FWD,4.0,Crossover,Midsize,Midsize,47.0,18.0,982,62941
54,Ford,Y,2010.0,Gasoline,122,20.0,Manual,FWD,4.0,Luxury,Midsize,Midsize,29.0,31.0,526,63005
55,Honda,Z,2007.0,Diesel,234,6.0,Manual,RWD,3.0,Crossover,Midsize,Midsize,32.0,26.0,455,63712
56,Ford,Z,2012.0,Gasoline,271,6.0,CVT,FWD,2.0,Hatchback,Large,Large,25.0,11.0,741,48541
57,Unknown,X,2004.0,Electric,152,20.0,Automatic,AWD,5.0,Luxury,Midsize,Midsize,200.0,33.0,598,28387
58,Unknown,X,2004.0,Gasoline,214,12.0,Automatic,FWD,5.0,Hatchback,Compact,Compact,17.0,39.0,645,53908
59,Unknown,X,2013.0,Gasoline,154,8.0,Automatic,AWD,4.0,Luxury,Midsize,Midsize,30.0,26.0,510,18057
60,Unknown,X,2011.0,Electric,147,20.0,CVT,AWD,10.0,Crossover,Large,Large,10.0,10.0,183,69028
61,Honda,Y,2018.0,Gasoline,70,12.0,Automatic,FWD,10.0,Hatchback,Large,Large,17.0,16.0,386,60731
62,BMW,X,2013.0,Gasoline,120,4.0,Automatic,FWD,3.0,Luxury,Large,Large,38.0,15.0,574,29858
63,Hyundai,Z,2020.0,Diesel,242,8.0,CVT,AWD,5.0,Luxury,Compact,Compact,41.0,26.0,731,53689
64,Toyota,Z,2020.0,Diesel,274,8.0,Automatic,FWD,4.0,Crossover,Midsize,Midsize,47.0,13.0,405,49638
65,Unknown,X,2017.0,Electric,329,6.0,Automatic,RWD,2.0,Luxury,Midsize,Midsize,14.0,11.0,246,51486
66,Ford,X,2020.0,Diesel,357,8.0,Automatic,AWD,5.0,Crossover,Midsize,Midsize,31.0,20.0,742,25567
67,Unknown,Y,1999.0,Electric,103,20.0,Automatic,FWD,4.0,Hatchback,Compact,Compact,43.0,9.0,591,34739
68,Ford,B,2020.0,Diesel,164,12.0,CVT,RWD,4.0,Crossover,Compact,Compact,10.0,12.0,661,62804
69,Hyundai,Y,2015.0,Gasoline,141,12.0,CVT,RWD,2.0,Luxury,Compact,Compact,35.0,34.0,650,8754
70,Hyundai,Z,2017.0,Electric,108,3.0,Automatic,FWD,2.0,Luxury,Large,Large,19.0,39.0,471,32044
71,Hyundai,X,2003.0,Electric,223,12.0,Manual,FWD,2.0,Hatchback,Compact,Compact,39.0,28.0,826,72260
72,Ford,Y,2006.0,Gasoline,319,12.0,CVT,RWD,3.0,Luxury,Compact,Compact,27.0,15.0,888,71912
73,Unknown,X,2015.0,Electric,231,6.0,Automatic,AWD,2.0,Luxury,Large,Large,26.0,15.0,423,13706
74,Hyundai,X,1995.0,Electric,187,12.0,Automatic,FWD,2.0,Luxury,Midsize,Midsize,35.0,10.0,901,13894
75,Honda,B,2020.0,Diesel,328,3.0,Manual,FWD,5.0,Luxury,Midsize,Midsize,17.0,10.0,65,23037
76,Ford,X,2020.0,Electric,375,4.0,Manual,FWD,10.0,Crossover,Large,Large,49.0,29.0,13,56612
77,Ford,Y,1995.0,Gasoline,337,20.0,CVT,FWD,4.0,Hatchback,Compact,Compact,21.0,13.0,213,34725
78,Unknown,X,2009.0,Gasoline,123,6.0,CVT,RWD,2.0,Hatchback,Compact,Compact,36.0,9.0,986,10926
79,Ford,B,1996.0,Diesel,305,4.0,CVT,FWD,2.0,Hatchback,Large,Large,17.0,30.0,242,14496
80,Ford,X,2016.0,Diesel,291,6.0,CVT,RWD,2.0,Crossover,Large,Large,34.0,9.0,493,61447
81,Hyundai,A,2010.0,Gasoline,320,12.0,CVT,AWD,10.0,Hatchback,Compact,Compact,13.0,24.0,213,34806
82,Unknown,A,2019.0,Gasoline,382,8.0,CVT,AWD,10.0,Crossover,Midsize,Midsize,42.0,150.0,693,46321
83,Hyundai,Z,2002.0,Gasoline,181,12.0,CVT,RWD,2.0,Luxury,Midsize,Midsize,10.0,30.0,338,70095
84,Hyundai,X,2007.0,Diesel,324,12.0,CVT,RWD,3.0,Hatchback,Midsize,Midsize,28.0,37.0,997,27656
85,Unknown,X,2015.0,Electric,372,4.0,CVT,AWD,2.0,Crossover,Large,Large,40.0,15.0,173,60147
86,Toyota,Z,1995.0,Diesel,276,12.0,Manual,RWD,5.0,Crossover,Midsize,Midsize,25.0,29.0,672,54666
87,Hyundai,Z,2010.0,Gasoline,298,8.0,CVT,AWD,4.0,Crossover,Compact,Compact,23.0,12.0,164,43787
88,Honda,Z,2001.0,Diesel,135,6.0,Manual,FWD,3.0,Luxury,Large,Large,14.0,20.0,465,67946
89,Honda,B,1999.0,Diesel,144,8.0,CVT,AWD,2.0,Hatchback,Compact,Compact,30.0,36.0,995,26727
